USPS,GEOID,NAME,INTPTLAT,INTPTLONG
AL,01001,Autauga County,32.532237,-86.64644
AL,01003,Baldwin County,30.659218,-87.746067
AL,01005,Barbour County,31.870253,-85.405103
AL,01007,Bibb County,33.015893,-87.127148
AL,01009,Blount County,33.977358,-86.56644
AL,01011,Bullock County,32.101759,-85.717261
AL,01013,Butler County,31.751667,-86.681969
AL,01015,Calhoun County,33.770516,-85.827909
AL,01017,Chambers County,32.915504,-85.394032
AL,01019,Cherokee County,34.069515,-85.654242
AL,01021,Chilton County,32.854051,-86.726607
AL,01023,Choctaw County,31.990954,-88.248889
AL,01025,Clarke County,31.685521,-87.818624
AL,01027,Clay County,33.2704,-85.863525
AL,01029,Cleburne County,33.671964,-85.516126
AL,01031,Coffee County,31.402258,-85.989602
AL,01033,Colbert County,34.703112,-87.801457
AL,01035,Conecuh County,31.430926,-86.988722
AL,01037,Coosa County,32.931445,-86.243482
AL,01039,Covington County,31.243987,-86.448721
AL,01041,Crenshaw County,31.730311,-86.320038
AL,01043,Cullman County,34.131923,-86.869267
AL,01045,Dale County,31.430654,-85.609476
AL,01047,Dallas County,32.333526,-87.11436
AL,01049,DeKalb County,34.460915,-85.804021
AL,01051,Elmore County,32.597229,-86.142735
AL,01053,Escambia County,31.122287,-87.16841
AL,01055,Etowah County,34.047641,-86.034263
AL,01057,Fayette County,33.716157,-87.764292
AL,01059,Franklin County,34.441989,-87.842814
AL,01061,Geneva County,31.092382,-85.821022
AL,01063,Greene County,32.844497,-87.9642
AL,01065,Hale County,32.752796,-87.623061
AL,01067,Henry County,31.516978,-85.239971
AL,01069,Houston County,31.158183,-85.296411
AL,01071,Jackson County,34.764114,-85.980056
AL,01073,Jefferson County,33.553444,-86.896536
AL,01075,Lamar County,33.787085,-88.087431
AL,01077,Lauderdale County,34.904168,-87.651108
AL,01079,Lawrence County,34.529776,-87.321865
AL,01081,Lee County,32.604064,-85.353048
AL,01083,Limestone County,34.810239,-86.981399
AL,01085,Lowndes County,32.147888,-86.650586
