USPS,GEOID,NAME,LSAD,INTPTLAT,INTPTLONG
AL,0100100,Abanda CDP,57,33.091627,-85.527029
AL,0100124,Abbeville city,25,31.565164,-85.259165
AL,0100460,Adamsville city,25,33.602315,-86.971527
AL,0100484,Addison town,43,34.202681,-87.178004
AL,0100676,Akron town,43,32.879066,-87.740899
AL,0100820,Alabaster city,25,33.214355,-86.82308
AL,0100988,Albertville city,25,34.26313,-86.21066
AL,0101132,Alexander City city,25,32.916719,-85.940589
AL,0101180,Alexandria CDP,57,33.760819,-85.872008
AL,0101228,Aliceville city,25,33.123706,-88.159344
AL,0101396,Allgood town,43,33.907623,-86.516109
AL,0101660,Altoona town,43,34.040014,-86.305179
AL,0101708,Andalusia city,25,31.309436,-86.478031
AL,0101756,Anderson town,43,34.915675,-87.274274
AL,0101852,Anniston city,25,33.673469,-85.810891
AL,0102116,Arab city,25,34.332387,-86.501167
AL,0102260,Ardmore town,43,34.987838,-86.829022
AL,0102320,Argo city,25,33.697861,-86.50576
AL,0102428,Ariton town,43,31.597772,-85.713061
AL,0102500,Arley town,43,34.076234,-87.217831
AL,0102836,Ashford city,25,31.185284,-85.236236
AL,0102860,Ashland town,43,33.269892,-85.833706
AL,0102908,Ashville city,25,33.835197,-86.270015
AL,0102956,Athens city,25,34.779021,-86.950799
AL,0103004,Atmore city,25,31.124067,-87.457798
AL,0103028,Attalla city,25,33.986189,-86.121037
AL,0103076,Auburn city,25,32.607122,-85.490959
AL,0103220,Autaugaville town,43,32.432563,-86.658752
AL,0103364,Avon town,43,31.179727,-85.279211
AL,0103508,Axis CDP,57,30.922171,-88.02262
AL,0103556,Babbie town,43,31.302083,-86.319437
AL,0103676,Baileyton town,43,34.260858,-86.608788
AL,0103724,Bakerhill town,43,31.776923,-85.295408
AL,0103820,Ballplay CDP,57,34.023047,-85.801478
AL,0103940,Banks town,43,31.813264,-85.836434
AL,0104660,Bay Minette city,25,30.890265,-87.792759
AL,0104684,Bayou La Batre city,25,30.407586,-88.263271
AL,0104852,Bear Creek town,43,34.255481,-87.713399
AL,0104900,Beatrice town,43,31.733309,-87.209046
AL,0104948,Beaverton town,43,33.935411,-88.021778
AL,0105140,Belgreen CDP,57,34.47454,-87.861678
AL,0105164,Belk town,43,33.651641,-87.92861
AL,0105188,Bellamy CDP,57,32.463658,-88.131481
AL,0105212,Belle Fontaine CDP,57,30.489493,-88.105939
AL,0105692,Benton town,43,32.307931,-86.817546
AL,0105812,Berlin town,43,34.185005,-86.748955
AL,0105932,Berry town,43,33.666702,-87.609311
AL,0105980,Bessemer city,25,33.370858,-86.971522
AL,0106460,Billingsley town,43,32.664711,-86.706713
AL,0107000,Birmingham city,25,33.527174,-86.797036
AL,0107120,Black town,43,31.00977,-85.74442
AL,0107456,Blountsville town,43,34.075838,-86.583918
AL,0107588,Blue Ridge CDP,57,32.4989,-86.182436
AL,0107672,Blue Springs town,43,31.663516,-85.503526
AL,0107912,Boaz city,25,34.19902,-86.155151
AL,0108104,Boligee town,43,32.768081,-88.02859
AL,0108248,Bon Air town,43,33.259355,-86.327175
AL,0108272,Bon Secour CDP,57,30.318246,-87.72439
AL,0108680,Boykin CDP,57,32.068375,-87.294343
AL,0109016,Brantley town,43,31.581992,-86.256784
AL,0109064,Brantleyville CDP,57,33.219303,-86.882522
AL,0109136,Brent city,25,32.944893,-87.172088
AL,0109208,Brewton city,25,31.109175,-87.076583
AL,0109328,Bridgeport city,25,34.949312,-85.723765
AL,0109400,Brighton city,25,33.439551,-86.945404
AL,0109424,Brilliant town,43,34.025671,-87.769047
AL,0109457,Bristow Cove CDP,57,34.109216,-86.240993
AL,0109500,Brook Highland CDP,57,33.438035,-86.685262
